ID,Year,Tonality,MIC,Pitch STD,MIS,Onset Density,nPVI,RIC
2018_04_1,2018,0.6454764380986617,2.8746822,2.275354812608417,2.36,2.481031323914061,0.0,1.0126603
2019_04_1,2019,0.7672471045588471,2.3339303,2.388863048955856,1.4915254237288136,2.204608743580608,34.350282485875724,1.4825054
2012_02_4,2012,0.8439724695659051,2.028602,3.2634441781695878,2.0869565217391304,2.8529876699336074,15.942028985507244,1.3338212
2005_04_4,2005,0.7675718214155672,3.3997383,2.192850599106104,2.3548387096774195,1.9530615318081697,65.37634408602149,2.3560781
2004_04_4,2004,0.5860943730124017,3.2822475,2.047046653107838,1.7551020408163265,2.4770221519675117,38.00777453838679,2.552284
1988_05_3,1988,0.7096803543441452,2.3462121,2.9732535523211827,3.4,2.083333333333333,0.0,1.9756534
2002_01_5,2002,0.6013381341797759,3.9035106,2.292110881002341,1.807692307692308,2.7795916722440053,16.92307692307692,1.8853015
1989_05_3,1989,0.6856479454287752,1.8360728,1.118033988749895,0.9130434782608696,1.5083001243255263,20.28985507246376,1.937221
2009_05_2,2009,0.7283772779487275,3.4295037,2.0005906500232133,1.1555555555555554,2.573727432564457,20.0,1.4758942
1977_02_4,1977,0.8888740878275971,4.0704327,3.2461515676258865,1.0769230769230769,2.4285726428577497,35.042735042735046,2.4617946
2008_05_2,2008,0.7213755595684763,2.9604201,3.9407613477601,3.5416666666666665,1.5925487774714704,38.888888888888886,2.0898721
1985_02_3,1985,0.7785058741690768,2.734436,1.5587661999529314,1.761904761904762,1.375,51.70068027210885,2.0581217
1971_01_3,1971,0.6338088355802307,2.8115587,1.1547005383792517,1.2352941176470589,1.2699998518333506,70.36414565826328,3.5662138
1984_02_3,1984,0.787788515725734,4.103153,2.7746627655633898,1.6756756756756757,2.1402295283525503,23.96396396396397,2.0620964
1993_04_3,1993,0.7351321591940781,4.7862263,2.2997584414213788,2.642857142857143,1.8148145123457295,55.1984126984127,3.185481
1961_02_2,1961,0.5991640827890796,5.1243057,2.8491698080390577,2.0,1.2874410889603731,71.67044595616025,2.856683
2008_03_4,2008,0.6413443150517487,3.875357,2.294891920248061,1.9069767441860463,2.0031605539050217,65.30084902177929,2.7594564
1994_01_2,1994,0.7638316219172212,3.7234907,2.3388504883057832,2.08,2.960641139304573,36.9015873015873,2.2118433
1976_04_2,1976,0.7755298825649722,3.9174602,3.3179041056548013,2.628571428571429,1.9500002600000343,58.69143554857841,2.47157
1995_01_2,1995,0.7765341964239006,3.2124078,1.6277591959500646,1.375,1.759208356239692,78.37301587301587,2.7142932
1960_02_2,1960,0.6457281412542693,4.1241302,3.1118473211261506,2.096774193548387,1.6776693157283609,78.1464413722478,4.758401
2009_03_4,2009,0.7210375439735902,2.658906,2.594106417798978,0.9743589743589745,3.659746826972201,20.05698005698005,1.4034122
