melody.id melody.name mean.information.content
189 "1964_04_2" 2.3303192
190 "1964_04_3" 3.0367227
191 "1964_05_1" 1.9333271
192 "1964_05_2" 2.265056
193 "1964_05_3" 1.2373976
194 "1964_05_4" 3.7338758
195 "1965_01_1" 2.194085
196 "1965_01_2" 1.9329513
197 "1965_02_1" 2.4170089
198 "1965_02_2" 1.9917017
199 "1965_03_1" 3.488275
200 "1965_03_2" 2.5555587
201 "1965_04_1" 3.0014005
202 "1965_05_1" 2.549839
203 "1965_05_2" 3.0871696
204 "1965_05_3" 2.4355698
205 "1965_05_4" 2.4397259
206 "1966_01_1" 2.0877182
207 "1966_01_2" 2.6027422
208 "1966_02_1" 2.7799299
209 "1966_02_2" 2.3861196
210 "1966_02_3" 3.3022609
211 "1966_02_4" 2.5000992
212 "1966_03_1" 2.4114957
213 "1966_03_2" 2.063353
214 "1966_03_3" 1.3453617
215 "1966_04_1" 2.472785
216 "1966_04_2" 0.69375587
217 "1966_05_1" 2.0831337
218 "1966_05_2" 3.363242
219 "1967_01_1" 3.4784956
220 "1967_01_2" 2.6908562
221 "1967_01_3" 2.4263885
222 "1967_02_1" 1.6372863
223 "1967_02_2" 1.9955063
224 "1967_03_1" 1.359175
225 "1967_04_1" 1.7811581
226 "1967_04_2" 2.28883
227 "1967_05_1" 2.702907
228 "1967_05_2" 2.6770627
229 "1967_05_3" 2.397295
230 "1968_01_1" 2.3370118
231 "1968_01_2" 2.5219707
232 "1968_01_3" 4.4316015
233 "1968_02_1" 2.6644087
234 "1968_02_2" 3.9961681
235 "1968_03_1" 2.9224377
236 "1968_03_2" 3.604554
237 "1968_04_1" 1.9521985
238 "1968_04_2" 1.5885614
239 "1968_04_3" 1.8758281
240 "1968_05_1" 1.6857637
241 "1968_05_2" 2.0358825
242 "1969_01_1" 3.1307194
243 "1969_01_2" 1.3816268
244 "1969_01_3" 1.7708782
245 "1969_02_1" 3.0340378
246 "1969_02_2" 2.5029483
247 "1969_02_3" 2.2466612
248 "1969_02_4" 2.6778924
249 "1969_02_5" 2.6746256
250 "1969_03_1" 2.8036394
251 "1969_03_2" 2.0979068
252 "1969_03_3" 2.5508258
253 "1969_04_1" 2.3997223
254 "1969_04_2" 2.8811145
255 "1969_05_1" 2.018535
256 "1969_05_2" 3.9573355
257 "1969_05_3" 1.8561102
258 "1970_01_1" 4.623592
259 "1970_01_2" 2.3691196
260 "1970_02_1" 3.4199877
261 "1970_02_2" 2.1663105
262 "1970_02_3" 4.0133653
263 "1970_03_1" 2.0446668
264 "1970_03_2" 2.2414758
265 "1970_03_3" 2.4247377
266 "1970_04_1" 2.1529326
267 "1970_04_2" 4.1508975
268 "1970_05_1" 2.7164152
269 "1970_05_2" 2.181016
270 "1971_01_1" 1.5983711
271 "1971_01_2" 2.857319
272 "1971_01_3" 3.5662138
273 "1971_02a_1" 2.5307987
274 "1971_02a_2" 2.6576352
275 "1971_02b_1" 3.3801343
276 "1971_02b_2" 2.507052
277 "1971_03a_1" 2.1597853
278 "1971_03a_2" 2.2573383
279 "1971_03a_3" 2.4007597
280 "1971_03b_1" 1.9953935
281 "1971_03b_2" 1.9019138
282 "1971_03b_3" 3.0979626
283 "1971_04_1" 2.526791
284 "1971_04_2" 2.4539487
285 "1971_05_1" 2.9433587
286 "1971_05_2" 3.2636883
287 "1972_01_1" 3.848207
288 "1972_02_1" 2.2614787
289 "1972_02_2" 2.4999752
290 "1972_03_1" 2.2748768
291 "1972_03_2" 2.3462112
292 "1972_03_3" 1.9906445
293 "1972_04_1" 2.7472174
294 "1972_04_2" 2.382144
295 "1972_05_1" 2.570392
296 "1972_05_2" 2.977747
297 "1972_05_3" 2.8278577
298 "1973_01_1" 2.5513139
299 "1973_01_2" 2.602762
300 "1973_01_3" 3.398934
301 "1973_02_1" 2.1922874
302 "1973_02_2" 2.1442075
303 "1973_03_1" 1.8804989
304 "1973_03_2" 2.7479494
305 "1973_04_1" 2.5398672
306 "1973_04_2" 3.3839898
307 "1973_04_3" 3.008565
308 "1973_04_4" 2.6067061
309 "1973_04_5" 3.0334287
310 "1973_04_6" 3.237397
311 "1973_04_7" 2.9877937
312 "1973_04_8" 2.7451277
313 "1973_05_1" 2.8674512
314 "1973_05_2" 3.5176554
315 "1973_05_3" 2.5028274
316 "1974_01_1" 2.5839765
317 "1974_01_2" 1.4781382
318 "1974_01_3" 4.6783447
319 "1974_02_1" 1.8901829
320 "1974_02_2" 1.2152417
321 "1974_03_1" 2.7333236
322 "1974_03_2" 1.9469604
323 "1974_03_3" 2.5246816
324 "1974_03_4" 1.0021187
325 "1974_04_1" 1.9313133
326 "1974_04_2" 1.8402792
327 "1974_04_3" 0.98228246
328 "1974_05_1" 2.6475587
329 "1974_05_2" 2.3939424
330 "1974_05_3" 2.4326968
331 "1974_05_4" 1.776064
332 "1975_01_1" 2.9645262
333 "1975_01_2" 2.9875505
334 "1975_01_3" 3.1364284
335 "1975_02_1" 1.9913594
336 "1975_02_2" 2.5481882
337 "1975_02_3" 2.1767795
338 "1975_03_1" 1.8304375
339 "1975_03_2" 2.4635224
340 "1975_03_3" 2.7071142
341 "1975_04_1" 2.6954882
342 "1975_04_2" 2.8070166
343 "1975_05_1" 2.1001267
344 "1975_05_2" 2.3369448
345 "1975_05_3" 1.9841267
346 "1976_01_1" 2.5208008
347 "1976_01_2" 6.8541703
348 "1976_01_3" 1.9057223
349 "1976_01_4" 1.9119812
350 "1976_01_5" 0.86969924
351 "1976_02_1" 2.025687
352 "1976_02_2" 2.3767633
353 "1976_02_3" 1.7984449
354 "1976_03_1" 1.7801033
355 "1976_03_2" 3.0590053
356 "1976_03_3" 2.2447727
357 "1976_03_4" 2.9804125
358 "1976_04_1" 2.962011
359 "1976_04_2" 2.47157
360 "1976_04_3" 2.2659676
361 "1976_05_1" 1.3411522
362 "1976_05_2" 1.5573136
363 "1976_05_3" 1.3893806
364 "1976_05_4" 1.6985012
365 "1977_01_1" 3.266034
366 "1977_01_2" 3.0119467
367 "1977_01_3" 3.5061693
368 "1977_02_1" 2.136291
369 "1977_02_2" 1.8627975
370 "1977_02_3" 2.5334291
371 "1977_02_4" 2.4617946
372 "1977_03_1" 1.6885445
373 "1977_03_2" 1.2640462
374 "1977_03_3" 2.34645
375 "1977_03_4" 2.2788706
376 "1977_04_1" 3.4999204
377 "1977_04_2" 3.6036844
378 "1977_04_3" 2.925968
379 "1977_04_4" 3.7914996
380 "1977_05_1" 2.1739252
381 "1977_05_2" 2.434164
382 "1977_05_3" 1.9089093
383 "1978_01_1" 2.2303164
384 "1978_01_2" 2.3672607
385 "1978_01_3" 2.0649362
386 "1978_02_1" 2.5884662
387 "1978_02_2" 2.0719583
388 "1978_02_3" 2.6259954
389 "1978_02_4" 1.9216138
390 "1978_03_1" 2.6007714
391 "1978_03_2" 2.5218
392 "1978_04_2" 2.2310221
393 "1978_04_3" 2.4617238
394 "1978_05_1" 2.0189452
395 "1978_05_2" 2.1509957
396 "1978_05_3" 2.787348
397 "1978_05_4" 2.987586
398 "1978_05_5" 2.0707142
399 "1978_05_6" 3.3131564
400 "1979_01_1" 1.6880178
401 "1979_01_2" 2.2482064
402 "1979_01_3" 3.8712988
403 "1979_02_1" 3.3836184
404 "1979_02_2" 2.7140517
405 "1979_02_3" 2.8687565
406 "1979_02_4" 2.2324278
407 "1979_02_5" 2.8338137
408 "1979_02_6" 2.4613686
409 "1979_03_1" 4.87877
410 "1979_03_2" 2.3025832
411 "1979_04_1" 2.2027051
412 "1979_04_2" 1.6248562
413 "1979_05_1" 1.347338
414 "1979_05_2" 2.7315745
415 "1979_05_3" 2.24355
416 "1980_01_1" 1.7665551
417 "1980_01_2" 2.3871293
418 "1980_01_3" 2.4284923
419 "1980_02_1" 3.0077524
420 "1980_02_2" 2.729741
421 "1980_03_1" 2.839959
422 "1980_03_2" 2.1442068
423 "1980_03_3" 2.1048687
424 "1980_04_1" 3.415446
425 "1980_04_2" 2.6012373
426 "1980_04_3" 2.3313875
427 "1980_04_4" 2.998086
428 "1980_05_1" 1.466248
429 "1980_05_2" 2.4386609
430 "1981_01_1" 1.8601534
431 "1981_01_2" 2.1335378
432 "1981_02_1" 3.9951868
433 "1981_02_2" 3.7938569
434 "1981_02_3" 3.3918076
435 "1981_03_1" 2.7354088
