Tonality,MIC,Pitch STD,MIS,Onset Density,nPVI,RIC
,,,,,,
,,,,,,-0.01934652185737415
,-0.016769156231056778,,,,,0.08156799348602106
,-0.0025506539547930085,,0.05395135231807782,,-0.03122252364571343,-0.021379548084678873
0.07939654755285352,0.005020271044361632,0.01598215300266989,-0.027382067293559853,0.01760765435807532,0.02491764175776634,0.023133341355762754
-0.014459036049704638,0.020021904372129487,-0.028870563284867326,-0.005793805015622294,-0.046384184872929834,0.09092566934973767,0.052806582947097475
0.004144156626648798,0.05041372986541506,0.019846228989285758,0.04539412354084693,-0.12221475603818066,0.042265648685075985,0.09195513027912028
0.00019265367622289808,0.032345810981421974,0.03469744169842118,0.03802518636340063,0.03820050919941653,-0.06598302468063627,-0.07352336092203585
0.13421674273346573,0.01648096236339608,0.03173434897890215,0.006047806479498541,-0.01481412173929797,0.018696058289692674,0.05340398117004813
-0.10975380240515181,-0.026551365993075157,-0.08225489947398248,-0.06332533999279022,-0.05813286477317947,-0.04260052343689649,-0.01983194711443012
0.07156264826225489,-0.0008429785332338541,0.05335805841489087,0.031103467077259084,-0.012556237430080164,-0.04809018091953912,-0.011585775163323583
0.06532426854883444,-0.00585759875068817,0.02002671978860293,-0.05687474966978871,0.052155888626267854,-0.0380709343019624,-0.07172405450190794
0.06020897775847889,-0.0065019151811031295,-0.010933488296992283,-0.04885639396008748,-0.0694783322578808,0.12802887254840545,0.0873504129425092
0.06084836384081932,-0.05653150870139722,0.04118707352955546,-0.06015204114043235,0.013787555295217246,0.02609983261418336,0.009194494412497478
0.028218172219514226,0.013970955337134945,0.05376266124935465,0.044786609946452456,0.03155418684640576,0.03174641961761404,0.02975133629292659
-0.1329575025367103,-0.0191360130251042,-0.03658074236238553,-0.024969081852255395,0.04919830059940544,-0.0254031080552235,-0.039047811811212585
0.028531532336004972,0.012454026277249113,-0.00024840885201254936,0.0484609687804739,-0.059162827775161686,0.018251570970506892,0.019012100921930578
0.010405896597804387,-0.048275723297222996,-0.029473516612940336,-0.03308054678663981,0.07524868832142606,-0.08795366796679623,-0.12050186360204018
-0.1227753176720891,0.044818783632115125,-0.03532701613224476,0.0021550578851133595,0.04806762771154016,0.008275822247934932,-0.010698190753725974
-0.163104301489246,-0.012509530205548507,-0.046906050636245464,0.05050945332005227,0.056922913928951546,-0.04988357307414999,-0.060536299997185766
