Feature,Era 1 nRMSE,Era 1 Lag,Era 2 nRMSE,Era 2 Lag,Era 3 nRMSE,Era 3 Lag
Tonality,0.3,3,0.19,6,0.15,4
MIC,0.16,3,0.12,7,0.11,2
Pitch STD,0.25,3,0.1,7,0.14,4
MIS,0.31,3,0.19,7,0.14,3
Onset Density,0.26,3,0.19,7,0.15,4
nPVI,0.27,3,0.14,7,0.19,3
RIC,0.1,3,0.15,7,0.2,1
