ID,Year,Tonality,Pitch STD,MIS,Onset Density,nPVI
2018_04_1,2018,0.6454764380986617,2.275354812608417,2.36,2.481031323914061,0.0
2019_04_1,2019,0.7672471045588471,2.3888630489558556,1.4915254237288136,2.2046087435806077,34.350282485875724
2012_02_4,2012,0.8439724695659051,3.2634441781695873,2.0869565217391304,2.8529876699336074,15.942028985507244
2005_04_4,2005,0.7675718214155672,2.1928505991061042,2.3548387096774195,1.9530615318081697,65.37634408602149
2004_04_4,2004,0.5860943730124017,2.047046653107838,1.7551020408163265,2.4770221519675113,38.00777453838679
1988_05_3,1988,0.7096803543441452,2.9732535523211827,3.4,2.0833333333333335,0.0
2002_01_5,2002,0.6013381341797759,2.292110881002341,1.8076923076923077,2.7795916722440053,16.92307692307692
1989_05_3,1989,0.6856479454287752,1.118033988749895,0.9130434782608695,1.5083001243255263,20.289855072463762
2009_05_2,2009,0.7283772779487275,2.0005906500232133,1.1555555555555554,2.573727432564457,19.999999999999996
1977_02_4,1977,0.8888740878275971,3.2461515676258865,1.0769230769230769,2.4285726428577497,35.042735042735046
2008_05_2,2008,0.7213755595684763,3.9407613477601,3.5416666666666665,1.5925487774714704,38.888888888888886
1985_02_3,1985,0.7785058741690768,1.5587661999529314,1.7619047619047619,1.375,51.70068027210885
1971_01_3,1971,0.6338088355802307,1.1547005383792515,1.2352941176470589,1.2699998518333506,70.36414565826328
1984_02_3,1984,0.787788515725734,2.7746627655633898,1.6756756756756757,2.1402295283525503,23.963963963963966
1993_04_3,1993,0.7351321591940781,2.2997584414213788,2.642857142857143,1.8148145123457298,55.1984126984127
1961_02_2,1961,0.5991640827890796,2.8491698080390577,2.0,1.2874410889603731,71.67044595616025
2008_03_4,2008,0.6413443150517487,2.294891920248061,1.9069767441860466,2.0031605539050217,65.30084902177929
1994_01_2,1994,0.7638316219172212,2.3388504883057832,2.08,2.9606411393045735,36.9015873015873
1976_04_2,1976,0.7755298825649722,3.3179041056548013,2.6285714285714286,1.9500002600000343,58.69143554857841
1995_01_2,1995,0.7765341964239006,1.6277591959500646,1.375,1.759208356239692,78.37301587301587
1960_02_2,1960,0.6457281412542693,3.1118473211261506,2.096774193548387,1.6776693157283609,78.1464413722478
2009_03_4,2009,0.7210375439735902,2.594106417798978,0.9743589743589743,3.659746826972201,20.05698005698005
1977_04_2,1977,0.8915700620802081,4.434939133867259,3.1818181818181817,1.0093745962501615,70.30507618742914
2020_03_3,2020,0.8276547168304635,4.098640405841866,1.4142857142857144,4.545719513068546,19.965986394557834
1958_03a_3,1958,0.8043467656532436,3.103651568914348,2.769230769230769,0.6253336043112285,56.4102564102564
2015_03_1,2015,0.7842211143158712,4.897431926715605,2.245614035087719,2.0365392000877818,20.517961570593148
2002_05_1,2002,0.6594196374896196,2.1931595882634345,2.6296296296296298,1.587547515046118,54.81481481481482
